CE,,,,,,Go to B2C Cart Page,,,,,Via buy page,13,14,1500.00%,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,,,,136
Assigned,Test Case,,,,,,,,,,57,Price,,Step >>,Step >>,Verify >>,Step >>,,Verify >>,Step >>,,,,,,,Step >>,,Special >>,Step >>,Verify >>,Verify >>,Mass premiums,,,,,Campaign,,,618,B2C,,Total,Verify >>,,Cart Page Result >>,,,Step >>,Step >>,Verify >>,Step >>,Verify >>,Verify >>,Verify >>,Checkout Page Result >> END OF TEST,,,,,,,,Automated Tests by UI Visions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated Test Result,Test duration (s),,Auto Cart,Last Updated,,,,,
Tester,ID,Auto Cart,Premiunm Qty,Manual Cart,Price Status,Model,FAMILY,Active,SKU,Link,SKU + Link,RRP,NRP,%,discount,Verify Price before Discount,Trade-up,Trade-up-discount,Verify trade-up discount,"Trade-in a smartphone 
(on cart page)",Trade-in-coupon,,,,,,Add Promo Code 1,Add Promo Code 2,Special discount after adding to cart,Add to Cart,Verify Product Price in Cart after Discount (Not total price in cart),Verify pre-order or back-order delivery date,Mass,Mass,Mass,Mass,Mass,Special July,Warrenty,"Trade-in
,HTS25-07,,,,Unavailable,HW-B450F/ZK,,UN,HW-B450F/ZK,https://www.samsung.com/hk/audio-devices/soundbar/b450f-black-hw-b450f-zk/?R=20250630225213,HW-B450F/ZK,"1,980","1,980",0.00%,0,"1,980",No,0,0,,,,,,,,,,,Add to Cart,"1,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,HTS25-08,,,,inStock,SWA-9250S/ZK,,N,SWA-9250S/ZK,https://www.samsung.com/hk/audio-accessories/swa-9250s-swa-9250s-zk/?R=20250630225213,SWA-9250S/ZK,"1,090","1,090",0.00%,0,"1,090",No,0,0,,,,,,,,,,,Add to Cart,"1,090.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON,,,,,,,-,,,,0,0,0.00%,0,0,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,MON--01,,,,inStock,"55"" Odyssey Ark 2<sup>nd</sup> Gen Curved Gaming Monitor (165Hz)",,N,LS55CG970NCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-ark-2nd-gen-g97nc-55-inch-165hz-1ms-curved-uhd-4k-ls55cg970ncxxk/?R=20250630225213,LS55CG970NCXXK,"25,800","25,800",0.00%,0,25800,No,0,0,,,,,,,,,,,Add to Cart,"25,800.00",,,Z-SM-A3660ZKGTGY-C,,,,,,,,,Z-SM-A3660ZKGTGY-C,1,"
●  1 x  Galaxy A36 5G (Awesome Black) [Z-SM-A3660ZKGTGY-C]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--02,,,,inStock,"57"" Odyssey Neo G9 Curved Gaming Monitor (240Hz)",,N,LS57CG952NCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-neo-g9-g95nc-57-inch-240hz-curved-dual-uhd-ls57cg952ncxxk/?R=20250630225213,LS57CG952NCXXK,"21,980","21,980",0.00%,0,21980,No,0,0,,,,,,,,,,,Add to Cart,"21,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,MON--03,,,,inStock,"49"" Odyssey G9 OLED Curved Gaming Monitor (240Hz)",,N,LS49DG952SCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-oled-g9-49-inch-oled-dual-qhd-ls49dg952scxxk/?R=20250630225213,LS49DG952SCXXK,"16,980","16,980",0.00%,0,"16,980",No,0,0,,,,,,,,,,,Add to Cart,"16,980.00",,Z-SM-X210NZA-TV,,,,,,,,,,Z-SM-X210NZA-TV,1,"
●  1 x  Galaxy Tab A9+ (Wi-Fi) [Z-SM-X210NZA-TV]
",Temp remove Z-STEAMPASS200x3,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--04,,,,inStock,"34"" Odyssey G8 OLED Curved Gaming Monitor (175Hz)",,N,LS34DG852SCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-oled-g8-34-inch-oled-ultra-wqhd-ls34dg852scxxk/?R=20250630225213,LS34DG852SCXXK,"10,980","7,980",27.32%,"3,000","7,980",No,0,0,,,,,,,,,,,Add to Cart,"7,980.00",,,,,,,,,,,,,0,"
",Temp remove Z-STEAMPASS200x3,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,MON--05,,,,inStock,"32"" Odyssey G8 OLED Gaming Monitor (240Hz)",,N,LS32DG802SCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-oled-g8-g80sd-32-inch-240hz-oled-uhd-ls32dg802scxxk/?R=20250630225213,LS32DG802SCXXK,"10,980","10,980",0.00%,0,"10,980",No,0,0,,,,,,,,,,,Add to Cart,"10,980.00",,Z-SM-X210NZA-TV,Z-SM-A3660ZKGTGY-C,,,,,,,,,"Z-SM-X210NZA-TV,Z-SM-A3660ZKGTGY-C",2,"
●  1 x  Galaxy Tab A9+ (Wi-Fi) [Z-SM-X210NZA-TV]
●  1 x  Galaxy A36 5G (Awesome Black) [Z-SM-A3660ZKGTGY-C]
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--06,,,,inStock,"27"" Odyssey G6 OLED Gaming Monitor (360Hz)",,N,LS27DG602SCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-oled-g6-g60sd-27-inch-360hz-oled-qhd-ls27dg602scxxk/?R=20250630225213,LS27DG602SCXXK,"6,980","5,980",14.33%,"1,000","5,980",No,0,0,,,,,,,,,,,Add to Cart,"5,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--07,,,,inStock,"32"" Odyssey G5 Gaming Monitor (180Hz)",,N,LS32DG502ECXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-g5-g50d-32-inch-180hz-ips-qhd-ls32dg502ecxxk/?R=20250630225213,LS32DG502ECXXK,"1,880","1,880",0.00%,0,"1,880",No,0,0,,,,,,,,,,,Add to Cart,"1,880.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--08,,,,inStock,"32"" Odyssey G5 Curved Gaming Monitor (165Hz)",,N,LS32CG552ECXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-g5-g55c-32-inch-165hz-curved-qhd-ls32cg552ecxxk/?R=20250630225213,LS32CG552ECXXK,"2,680","1,780",33.58%,900,1780,No,0,0,,,,,,,,,,,Add to Cart,"1,780.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--09,,,,inStock,"27"" Odyssey G5 Gaming Monitor (180Hz)",,N,LS27DG502ECXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-g5-g50d-27-inch-180hz-ips-qhd-ls27dg502ecxxk/?R=20250630225213,LS27DG502ECXXK,"1,980","1,480",25.25%,500,"1,480",No,0,0,,,,,,,,,,,Add to Cart,"1,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--10,,,,inStock,"27"" Odyssey G5 Curved Gaming Monitor (165Hz)",,N,LS27CG552ECXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-g5-g55c-27-inch-165hz-curved-qhd-ls27cg552ecxxk/?R=20250630225213,LS27CG552ECXXK,"1,680","1,280",23.81%,400,1280,No,0,0,,,,,,,,,,,Add to Cart,"1,280.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--11,,,,Unavailable,"24"" Odyssey G3 Gaming Monitor (180Hz)",,UN,LS24DG302ECXXK,https://www.samsung.com?R=20250630225213,LS24DG302ECXXK,"1,280","1,280",0.00%,0,1280,No,0,0,,,,,,,,,,,Add to Cart,"1,280.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--12,,,,Unavailable,"27"" C390 Curved Monitor",,UN,LS27C390EACXXK,https://www.samsung.com/hk/monitors/curved/essential-s3-27-inch-curved-fhd-1080p-ls27c390eacxxk/?R=20250630225213,LS27C390EACXXK,"1,780",,100.00%,1780,1780,No,0,0,,,,,,,,,,,Add to Cart,"1,780.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--13,,,,Unavailable,"32"" M8 Smart Monitor (2024)",,UN,LS32DM803UCXXK,https://www.samsung.com/hk/monitors/high-resolution/smart-monitor-m8-32-inch-smart-tv-apps-ls32dm803ucxxk/?R=20250630225213,LS32DM803UCXXK,"4,980",,100.00%,"4,980","4,980",No,0,0,,,,,,,,,,,Add to Cart,"4,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--14,,,,Unavailable,"32"" M7 Smart Monitor (2024), White",,EOL,LS32DM703UCXXK,https://www.samsung.com/hk/monitors/high-resolution/smart-monitor-m7-32-inch-smart-tv-apps-ls32dm703ucxxk/?R=20250630225213,LS32DM703UCXXK,"3,180",,100.00%,"3,180","3,180",No,0,0,,,,,,,,,,,Add to Cart,"3,180.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--15,,,,Unavailable,34” Odyssey G5 Curved Gaming Monitor (165Hz),,UN,LC34G55TWWCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-g5-34-inch-165hz-curved-ultra-wqhd-lc34g55twwcxxk/?R=20250630225213,LC34G55TWWCXXK,"3,680","2,980",19.02%,700,2980,No,0,0,,,,,,,,,,,Add to Cart,"2,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--16,,,,Unavailable,"32"" M7 Smart Monitor (2024), Black",,EOL,LS32DM702UCXXK,https://www.samsung.com/hk/monitors/high-resolution/smart-monitor-m7-32-inch-smart-tv-apps-ls32dm702ucxxk/?R=20250630225213,LS32DM702UCXXK,"3,180",,100.00%,"3,180","3,180",No,0,0,,,,,,,,,,,Add to Cart,"3,180.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--17,,,,inStock,27 32 ViewFinity S7 S70D UHD Monitor,,N,LS37D702EACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s7-s70d-37-inch-uhd-hdr10-easysetupstand-ls37d702eacxxk/?R=20250630225213,LS37D702EACXXK,"3,880",,100.00%,3880,3880,No,0,0,,,,,,,,,,,Add to Cart,"3,880.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--18,,,,inStock,ViewFinity S8 S80UD UHD Monitor LS32D804UACXXK,,N,LS37D802UACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s8-s80ud-37-inch-uhd-usbc-easysetupstand-ls37d802uacxxk/?R=20250630225213,LS37D802UACXXK,"4,480",,100.00%,4480,4480,No,0,0,,,,,,,,,,,Add to Cart,"4,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--19,,,,inStock,"27"" ViewFinity S9 5K Monitor",,N,LS27C900PACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s9-27-inch-5k-resolution-ls27c900pacxxk/?R=20250630225213,LS27C900PACXXK,"10,490","10,490",0.00%,0,10490,No,0,0,,,,,,,,,,,Add to Cart,"10,490.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--20,,,,inStock,"49"" ViewFinity S9 S95UC LS49C950UACXXK",,N,LS49C950UACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s9-49-inch-dual-qhd-ls49c950uacxxk/?R=20250630225213,LS49C950UACXXK,"8,980",,100.00%,8980,8980,No,0,0,,,,,,,,,,,Add to Cart,"8,980.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--21,,,,inStock,"32"" ViewFinity S8 S80UD UHD Monitor",,N,LS32D804UACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s8-32-inch-uhd-usbc-easysetupstand-ls32d804uacxxk/?R=20250630225213,LS32D804UACXXK,"3,480",,100.00%,3480,3480,No,0,0,,,,,,,,,,,Add to Cart,"3,480.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--22,,,,inStock,"32"" ViewFinity S7 UHD Monitor",,N,LS32D706EACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s7-32-inch-uhd-hdr10-easysetupstand-ls32d706eacxxk/?R=20250630225213,LS32D706EACXXK,"2,880","2,580",10.42%,300,"2,580",No,0,0,,,,,,,,,,,Add to Cart,"2,580.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--23,,,,inStock,"27"" ViewFinity S7 UHD Monitor",,N,LS27D706EACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s7-27-inch-uhd-hdr10-easysetupstand-ls27d706eacxxk/?R=20250630225213,LS27D706EACXXK,"1,480","1,480",0.00%,0,"1,480",No,0,0,,,,,,,,,,,Add to Cart,"1,480.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--24,,,,inStock,"32"" ViewFinity S6 S60UD QHD Monitor",,N,LS32D606UACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s6-32-inch-qhd-100hz-easysetupstand-ls32d606uacxxk/?R=20250630225213,LS32D606UACXXK,"3,080",,100.00%,3080,3080,No,0,0,,,,,,,,,,,Add to Cart,"3,080.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--25,,,,Unavailable,"24"" ViewFinity S6 S60UD QHD Monitor",,UN,LS24D604UACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s6-24-inch-qhd-100hz-easysetupstand-ls24d604uacxxk/?R=20250630225213,LS24D604UACXXK,"2,380",,100.00%,2380,2380,No,0,0,,,,,,,,,,,Add to Cart,"2,380.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--26,,,,inStock,"27"" ViewFinity S6 S60UD QHD Monitor",,N,LS27D606UACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s6-27-inch-qhd-100hz-easysetupstand-ls27d606uacxxk/?R=20250630225213,LS27D606UACXXK,"2,180",,100.00%,2180,2180,No,0,0,,,,,,,,,,,Add to Cart,"2,180.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--27,,,,Unavailable,"32"" C390 Curved Monitor",,UN,LS32C390EACXXK,https://www.samsung.com/hk/monitors/curved/essential-s3-32-inch-curved-fhd-1080p-ls32c390eacxxk/?R=20250630225213,LS32C390EACXXK,"2,080",,100.00%,2080,2080,No,0,0,,,,,,,,,,,Add to Cart,"2,080.00",,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--28,,,,inStock,"27"" ViewFinity S8 S80UD UHD Monitor",,N,LS27D804UACXXK,https://www.samsung.com/hk/monitors/high-resolution/viewfinity-s8-27-inch-uhd-usbc-easysetupstand-ls27d804uacxxk/?R=20250630225213,LS27D804UACXXK,"2,480",,100.00%,2480,2480,No,0,0,,,,,,,,,,,Add to Cart,"2,480.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--29,,,,Unavailable,"27"" S33GC Essential Monitor",,EOL,LS27C330GACXXK,https://www.samsung.com/hk/monitors/flat/essential-monitor-s3-27-inch-fhd-ips-100hz-ls27c330gacxxk/?R=20250630225213,LS27C330GACXXK,"1,280","1,080",15.63%,200,"1,080",No,0,0,,,,,,,,,,,Add to Cart,"1,080.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON--30,,,,Unavailable,"24"" S33GC Essential Monitor",,UN,LS24C330GACXXK,https://www.samsung.com/hk/monitors/flat/essential-monitor-s3-24-inch-fhd-ips-100hz-ls24c330gacxxk/?R=20250630225213,LS24C330GACXXK,980,,100.00%,980,980,No,0,0,,,,,,,,,,,Add to Cart,980.00,,,,,,,,,,,,,0,"
",,,,,End of Test,,,,,0,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON25,,,,,,,-,,,,0,0,0.00%,0,0,No,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,MON25-01,,,,OOS (Blocked),"27"" Odyssey 3D G90XF 4K Gaming Monitor (165Hz)",,N,LS27FG900XCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-3d-g90xf-27-inch-165hz-uhd-ls27fg900xcxxk/?R=20250630225213,LS27FG900XCXXK,"14,980","14,980",0.00%,0,"14,980",No,0,0,,,,,,,,,,,Add to Cart,"14,980.00",,Z-RAZERBASILISKV3,Z-RAZERBWV3T,Z-RAZERGOLIATHUSC,,,,,,,,"Z-RAZERBASILISKV3,Z-RAZERBWV3T,Z-RAZERGOLIATHUSC",3,"
●  1 x  Razer Basilisk V3 Gaming Wired Mouse [Z-RAZERBASILISKV3]
●  1 x  Razer BlackWidow V3 Tenkeyless  [Z-RAZERBWV3T]
●  1 x  Razer Goliathus Chroma Mouse Mat   [Z-RAZERGOLIATHUSC]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON25-02,,,,Unavailable,"49"" Odyssey G9 DQHD Gaming Monitor",,EOL,LS49FG916ECXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-g9-g91f-49-inch-144hz-dual-qhd-ls49fg916ecxxk/?R=20250630225213,LS49FG916ECXXK,"9,980","9,980",0.00%,0,"9,980",No,0,0,,,,,,,,,,,Add to Cart,"9,980.00",,Z-TT248MON,,,,,,,,,,Z-TT248MON,1,"
●  1 x  Thrustmaster T248 Steeling Wheel [Z-TT248MON]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,MON25-03,,,,inStock,"32"" Odyssey OLED G8 G81SF Gaming Monitor (240Hz)",,N,LS32FG816SCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-oled-g8-g81sf-32-inch-240hz-oled-uhd-ls32fg816scxxk/?R=20250630225213,LS32FG816SCXXK,"9,980","9,980",0.00%,0,"9,980",No,0,0,,,,,,,,,,,Add to Cart,"9,980.00",,,Z-SM-A3660ZKGTGY-C,,,,,,,,,Z-SM-A3660ZKGTGY-C,1,"
●  1 x  Galaxy A36 5G (Awesome Black) [Z-SM-A3660ZKGTGY-C]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON25-04,,,,inStock,"27"" Odyssey OLED G8 G81SF Gaming Monitor (240Hz)",,N,LS27FG816SCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-oled-g8-g81sf-27-inch-240hz-oled-uhd-ls27fg816scxxk/?R=20250630225213,LS27FG816SCXXK,"8,980","7,980",11.14%,"1,000","7,980",No,0,0,,,,,,,,,,,Add to Cart,"7,980.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Sola,MON25-05,,,,inStock,"27"" Odyssey OLED G6 G61SD QHD Gaming Monitor (240Hz)",,N,LS27DG612SCXXK,https://www.samsung.com/hk/monitors/gaming/odyssey-oled-g6-g61sd-27-inch-240hz-qhd-ls27dg612scxxk/?R=20250630225213,LS27DG612SCXXK,"5,980","5,980",0.00%,0,"5,980",No,0,0,,,,,,,,,,,Add to Cart,"5,980.00",,Z-RAZERKAIRAPRO,,,,,,,,,,Z-RAZERKAIRAPRO,1,"
●  1 x  Razer Kaira Wireless Gaming Headset [Z-RAZERKAIRAPRO]
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON25-06,,,,Unavailable,Essential Monitor S3 S30GD Full HD,,UN,LS22D300GACXXK,https://www.samsung.com/hk/monitors/full-hd-1080p/essential-monitor-s3-s30gd-22-inch-fhd-ips-100hz-ls22d300gacxxk/?R=20250630225213,LS22D300GACXXK,,,0.00%,0,,No,0,0,,,,,,,,,,,Add to Cart,0.00,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON25-07,,,,inStock,Essential Monitor S3 S30GD Full HD,,N,LS24D300GACXXK,https://www.samsung.com/hk/monitors/full-hd-1080p/essential-monitor-s3-s30gd-24-inch-fhd-ips-100hz-ls24d300gacxxk/?R=20250630225213,LS24D300GACXXK,940,,100.00%,940,940,No,0,0,,,,,,,,,,,Add to Cart,940.00,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,MON25-08,,,,inStock,Essential Monitor S3 S30GD Full HD,,N,LS27D300GACXXK,https://www.samsung.com/hk/monitors/full-hd-1080p/essential-monitor-s3-s30gd-27-inch-fhd-ips-100hz-ls27d300gacxxk/?R=20250630225213,LS27D300GACXXK,"1,080",,100.00%,"1,080","1,080",No,0,0,,,,,,,,,,,Add to Cart,"1,080.00",,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
